timestamp,k,state,T,T_pred_next,T_amb,omega,I,event
1770840964.3330529,154,RUN,25.4714,33.8347,30.5534,533.32,12.7158,
1770840964.4349663,155,RUN,25.4748,33.8229,30.5304,509.86,13.4907,
1770840964.536328,156,RUN,25.4783,33.8874,30.5857,432.89,13.6298,
1770840964.6381726,157,RUN,25.4817,33.8948,30.5654,410.14,13.7039,
1770840964.7399514,158,RUN,25.4853,33.9133,30.5963,383.00,14.1294,
1770840964.8427284,159,RUN,25.4894,33.6562,30.5392,383.51,15.0000,
1770840964.944607,160,RUN,25.4935,33.6749,30.5504,498.17,15.0000,
1770840965.0470893,161,RUN,25.4976,33.7244,30.5794,493.63,14.9318,
1770840965.1483903,162,RUN,25.5015,33.8029,30.5404,528.05,14.5912,
1770840965.250895,163,RUN,25.5056,33.7645,30.5737,614.87,14.7378,
1770840965.3532047,164,RUN,25.5096,33.7440,30.5594,651.19,14.6144,
1770840965.4547935,165,RUN,25.5135,33.8552,30.6062,504.68,14.4801,
1770840965.556669,166,RUN,25.5176,33.6482,30.5067,385.07,15.0000,
1770840965.6577866,167,RUN,25.5213,33.8767,30.5514,327.51,14.3990,
1770840965.7591944,168,RUN,25.5253,33.4496,30.4032,284.03,15.0000,
1770840965.8622067,169,RUN,25.5292,33.4635,30.4249,239.27,15.0000,
1770840965.9638953,170,RUN,25.5332,33.3238,30.3469,215.48,15.0000,
1770840966.0658543,171,RUN,25.5372,33.3524,30.3426,278.75,15.0000,
1770840966.1677103,172,RUN,25.5411,33.3834,30.3760,223.68,15.0000,
1770840966.2686536,173,RUN,25.5448,33.5939,30.4574,146.07,14.6449,
1770840966.3710754,174,RUN,25.5487,33.5729,30.5242,130.76,15.0000,
1770840966.4720407,175,RUN,25.5527,33.6069,30.5021,247.16,15.0000,
1770840966.5738757,176,RUN,25.5567,33.7284,30.5150,372.34,14.8553,
1770840966.6758182,177,RUN,25.5607,33.6096,30.4680,336.45,15.0000,
1770840966.777519,178,RUN,25.5646,33.5860,30.3897,387.45,14.7845,
1770840966.8802068,179,RUN,25.5683,33.6824,30.4471,195.91,14.4699,
1770840966.9809217,180,RUN,25.5720,33.4808,30.3627,129.81,14.5689,
1770840967.0826046,181,RUN,25.5756,33.4795,30.3538,109.54,14.5053,
